疫情地区,新增,现有,累计,治愈,死亡
台湾,32,1961,15753,13001,791
江苏,40,414,1166,752,0
云南,11,383,862,477,2
香港,8,69,12002,11721,212
上海,9,69,2329,2253,7
广东,2,66,2896,2822,8
湖南,9,52,1120,1064,4
福建,3,48,751,702,1
四川,0,42,1158,1113,3
河南,4,39,1356,1295,22
湖北,3,34,68213,63667,4512
天津,0,26,429,400,3
陕西,0,25,661,633,3
北京,3,22,1099,1068,9
浙江,0,20,1398,1377,1
山东,4,17,900,876,7
内蒙古,1,10,409,398,1
澳门,0,9,63,54,0
辽宁,0,8,438,428,2
重庆,0,4,603,593,6
甘肃,0,4,199,193,2
广西,0,2,277,273,2
海南,1,2,190,182,6
吉林,0,1,574,570,3
山西,0,1,254,253,0
宁夏,0,1,77,76,0
